"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked"
"","Salis Roofing","roofing","Dallas","TX","https://salisroofing.com/","+1-469-677-0239","office@salisroofing.com","https://salisroofing.com/contact-us/","Brad Patrick Sykes","Owner/Manager","BBB Sali's Roofing profile","overpass_public_business_record","Dallas TX roofing public business listing","Public business record listed a phone number, website, public email, and contact path. Official Sali's Roofing site confirms Dallas roofing services and quote/inspection language. BBB profile lists Brad Patrick Sykes as Owner/Manager for Sali's Roofing, LLC.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Roofing primary-call routing cleanup","1","reviewed_owner_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","NOMI - Bathroom Remodeling Dallas Tx","plumbing","Dallas","TX","https://nomibath.com/","+1-800-371-8970","info@nomibath.com","https://nomibath.com/contact-us/","Joseph Tsedaka","CEO / Founder","BBB Nomi profile and official NOMI location page","overpass_public_business_record","Dallas TX plumbing public business listing","Public business record listed phone, website, email, and contact path. Official NOMI site confirms Dallas-Fort Worth bathroom remodeling services. BBB profile lists Joseph Tsedaka as CEO and the NOMI location page identifies Joseph Tsedaka as founder.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Bathroom remodel primary-call routing cleanup","1","reviewed_owner_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","On Time Experts","plumbing","Dallas","TX","https://www.theontimeexperts.com/","+1-214-267-2007","","https://www.theontimeexperts.com/contact/","George Donaldson","CEO","BBB On-Time Group / On Time Experts profile","overpass_public_business_record","Dallas TX plumbing public business listing","Public business record listed website and first-party contact path. Official On Time Experts site confirms Dallas-Fort Worth plumbing, heating, and air conditioning service context and public phone 214-267-2007. BBB profile lists George Donaldson as CEO for On-Time Group, LLC / On Time Experts.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Plumbing lead-capture follow-up setup","2","reviewed_decision_maker_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","New Image Roofing","roofing","Houston","TX","https://www.newimageroofing.net","+1 832-421-7474","","","Mark Dickerson","President","BBB New Image Roofing Houston profile","overpass_public_business_record","Houston TX roofing public business listing","Public business record listed phone and website. BBB Houston profile confirms New Image Roofing Houston / New Image Roofing & Construction, Inc. and lists Mark Dickerson as President.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","reviewed_decision_maker_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","Amstill Roofing","roofing","Houston","TX","https://amstillroofing.com/houston-roofing","+1-281-612-8747","","https://amstillroofing.com/contact/","Sam Stilley","CEO","BBB Amstill Roofing profile and official Amstill Roofing page","overpass_public_business_record","Houston TX roofing public business listing","Public business record listed phone, website, and contact path. Official Amstill page confirms Houston roofing services and identifies Frank Stilley as Founder and Sam Stilley as CEO. BBB profile lists Frank Stilley as President and Sam Stilley as CEO.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Roofing lead-capture follow-up setup","1","reviewed_decision_maker_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","Acuity Electric","electrician","Houston","TX","http://acuityelectric.com/","+1-713-695-5992","aqe@acuityelectric.com","http://acuityelectric.com/contact_us","Nancy Trunk","President","Official Acuity Electric contact page","overpass_public_business_record","Houston TX electrician public business listing","Public business record listed phone, website, email, and contact path. Official Acuity Electric contact page lists Nancy Trunk as President and confirms Acuity Electric, Inc. dba AQ Electric in Houston.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Electrician primary-call routing cleanup","1","reviewed_decision_maker_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","All Star Roofing","roofing","Austin","TX","https://www.allstarroofingtexas.com/","+1-512-477-7827","","https://allstarroofingtexas.com/contact-2","Terry Paris","Owner","BBB All Star Roofing Leander/Austin-area profile","overpass_public_business_record","Austin TX roofing public business listing","Public business record listed phone, website, and contact path. Official All Star Roofing Texas site confirms Central Texas roofing services. BBB Austin-area profile lists Terry Paris as Owner for All Star Roofing.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Roofing lead-capture follow-up setup","2","reviewed_owner_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","JC Roof Construction LLC","roofing","Austin","TX","http://jcroofconstruction.com","+1-512-833-9353","","","Cruz Castillo","Owner","The Blue Book JC Roof Construction key contacts and BBB Austin JC Roofing profile","overpass_public_business_record","Austin TX roofing public business listing","Public business record listed phone and website. The Blue Book exact-match listing for JC Roof Construction LLC identifies Cruz Castillo as Owner and an Austin address. BBB Austin roofing profile for JC Roofing Company Inc. also lists J Cruz Castillo as Owner.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","reviewed_owner_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","Kidd Roofing","roofing","Austin","TX","https://www.kiddroof.com/","+1-512-671-7791","","","Chris Lowe","President","BBB Kidd Roofing profile and official Kidd Roofing site","overpass_public_business_record","Austin TX roofing public business listing","Public business record listed phone and website. Official Kidd Roofing site confirms Austin/Texas roofing operations. BBB profiles list Chris Lowe as President or Vice President decision-maker for Kidd Roofing.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","reviewed_decision_maker_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
"","Beckett Electrical Services","electrician","Austin","TX","https://www.beckettelectrical.com/","+1-512-346-7462","shannon@beckettelectrical.com","https://beckettelectrical.com/contact/","Jesse Beckett","Owner / Co-Founder","Official Beckett Electrical About page and BBB profile","overpass_public_business_record","Austin TX electrician public business listing","Public business record listed phone, website, public email, and contact path. Official Beckett Electrical About page says Jesse and Maureen Beckett founded the company in Austin in 2003. BBB profile lists Jesse Beckett and Maureen Beckett as Owners.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Electrician primary-call routing cleanup","1","reviewed_owner_verified_public_source","P0_owner_verified_offer_ready","2026-06-14"
