lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,owner_name,owner_title,owner_source,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260614-0001,Kingfisher Roofing,roofing,Austin,TX,https://kingfisher-roofing.com/,+1-512-831-7228,info@kingfisher-roofing.com,https://kingfisher-roofing.com/contact/,,,,overpass_public_business_record,Austin TX roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@kingfisher-roofing.com. Website exposed a contact path at https://kingfisher-roofing.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0002,The Roofing Guy,roofing,Austin,TX,https://theroofingguy.co/,+1-469-925-3323,info@theroofingguy.co,https://theroofingguy.co/contact,,,,overpass_public_business_record,Austin TX roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@theroofingguy.co. Website exposed a contact path at https://theroofingguy.co/contact. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0003,Austin Air Conditioning & Repair,hvac,Austin,TX,https://acrepairaustin.org/,+1-512-271-2172,,,,,,overpass_public_business_record,Austin TX hvac public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0004,Intelligent Air Services,hvac,Austin,TX,https://www.iairservices.com/,+1-512-323-2500,,https://scheduler.servicetitan.com/,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://scheduler.servicetitan.com/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0005,Austin Air Duct Cleaning,hvac,Austin,TX,https://austinductcleaning.us/,+1-512-354-2780,,,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0006,Smart Air Service Co.,hvac,Austin,TX,https://smartairaustin.com/,+1-512-600-4311,Shane@smartairaustin.com,https://smartairaustin.com/request-estimate/,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email Shane@smartairaustin.com. Website exposed a contact path at https://smartairaustin.com/request-estimate/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Hvac primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0007,Elite Heating and Air Conditioning,hvac,Austin,TX,https://eliteaustinac.com/,+1-512-637-4237,,,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0008,"Efficent AC, Electric & Plumbing",hvac,Austin,TX,https://efficienttexas.com/,+1-512-501-2275,kate@efficienttexas.com,https://efficienttexas.com/contact/,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email kate@efficienttexas.com. Website exposed a contact path at https://efficienttexas.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Hvac primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0009,MORSCO HVAC Supply,hvac,Austin,TX,https://www.morscohvacsupply.com/,+1-512-302-3575,,,,,,overpass_public_business_record,Austin TX hvac public business listing,Public business record listed a phone number. Public business record listed a website.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0010,Johnstone Supply,hvac,Austin,TX,https://www.johnstonesupply.com/store55?,+1-512-834-0346,,https://www.johnstonesupply.com/store55/contact-us,,,,overpass_public_business_record,Austin TX hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.johnstonesupply.com/store55/contact-us. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0011,HHR Enterprises Heating & Cooling Solutions,hvac,Columbus,OH,http://www.hhrheatingandcooling.com/,+1-614-392-2715,,,,,,overpass_public_business_record,Columbus OH hvac public business listing,Public business record listed a phone number. Public business record listed a website.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0012,"Air Comfort Systems, Inc.",hvac,Columbus,OH,http://hvacacs.com,+1 614 4442665,,https://www.hugedomains.com/contact.cfm,,,,overpass_public_business_record,Columbus OH hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.hugedomains.com/contact.cfm. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0013,"Logan Services A/C, Heat & Plumbing",hvac,Columbus,OH,https://www.logan-inc.com,+1 614-224-3200,,https://connect.facebook.net/,,,,overpass_public_business_record,Columbus OH hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://connect.facebook.net/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0014,Fire & Ice Columbus,hvac,Columbus,OH,https://www.indoortemp.com/,+1-614- 454-3260,,,,,,overpass_public_business_record,Columbus OH hvac public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
