lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260613-0001,Longley Supply,plumbing,Jacksonville,FL,,,,,overpass_public_business_record,Jacksonville FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0002,The Greatful Plumber,plumbing,Jacksonville,FL,https://tgplumber.com/,+1 904-643-3946,,https://www.facebook.com/thegreatfulplumber/,overpass_public_business_record,Jacksonville FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.facebook.com/thegreatfulplumber/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Plumbing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0003,AND Services,plumbing,Jacksonville,FL,https://www.andservices.com/locations/jacksonville/,+1-904-892-6850,,,overpass_public_business_record,Jacksonville FL plumbing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Plumbing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0004,"Harry Hayes Plumbing, Water Heater Repair & Drain Cleaning",plumbing,Jacksonville,FL,https://www.harryhayesplumbing.com/,+1-904-906-8486,,https://online-booking.housecallpro.com/,overpass_public_business_record,Jacksonville FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://online-booking.housecallpro.com/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Plumbing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0005,Jackson Plumbing,plumbing,Jacksonville,FL,,,,,overpass_public_business_record,Jacksonville FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0006,Armour Roofing,roofing,Tampa,FL,https://armourroofinc.com/roofers/tampa-fl.php,+1-813-773-3235,you@company.com,https://armourroofinc.com/contact.php,overpass_public_business_record,Tampa FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email you@company.com. Website exposed a contact path at https://armourroofinc.com/contact.php. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0007,Steadfast Roofing,roofing,Tampa,FL,https://steadfastroofingfl.com/roofing/tampa/,+1-813-726-4590,info@steadfastroofingfl.com,https://steadfastroofingfl.com/online-estimate/,overpass_public_business_record,Tampa FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@steadfastroofingfl.com. Website exposed a contact path at https://steadfastroofingfl.com/online-estimate/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0008,Busto Plumbing Company,plumbing,Tampa,FL,,,,,overpass_public_business_record,Tampa FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0009,Llona Plumbing,plumbing,Tampa,FL,https://www.llonaplumbing.com/,,,,overpass_public_business_record,Tampa FL plumbing public business listing,Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Plumbing contact-path cleanup,2,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0010,Cloud 9 Services Inc.,plumbing,Orlando,FL,,,,,overpass_public_business_record,Orlando FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0011,Sallustio & Son,plumbing,Brooklyn,NY,,+1-718-858-9080,,,overpass_public_business_record,Brooklyn NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0012,Headquarters Mechanical,plumbing,Brooklyn,NY,,+1-718-234-1345,,,overpass_public_business_record,Brooklyn NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0013,Star Plumbing & Heating,plumbing,Brooklyn,NY,,+1-718-680-4000,,,overpass_public_business_record,Brooklyn NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0014,Starlite Plumbing & Heating,plumbing,Brooklyn,NY,,+1-718-256-6100,,,overpass_public_business_record,Brooklyn NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0015,Village Plumbing & Heating,plumbing,Queens,NY,,,,,overpass_public_business_record,Queens NY plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0016,Joseph O'Grady,plumbing,Queens,NY,,+1-718-474-3371,,,overpass_public_business_record,Queens NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0017,Magic Mechanical Inc,plumbing,Queens,NY,https://magicmec.com,+1-718-925-9201,,https://www.magicmec.com/contactus,overpass_public_business_record,Queens NY plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.magicmec.com/contactus. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Plumbing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0018,RJ Wellbrock,plumbing,Queens,NY,,,,,overpass_public_business_record,Queens NY plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
