lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260613-0001,Peninsular Plumbing,plumbing,Tampa,FL,https://www.peninsularplumbing.com/,+1 813-879-5840,rgilliland2231@gmail.com,https://www.facebook.com/peninsularplumbingco,overpass_public_business_record,Tampa FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email rgilliland2231@gmail.com. Website exposed a contact path at https://www.facebook.com/peninsularplumbingco. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0002,EVERYDAYPLUMBER.com,plumbing,Tampa,FL,http://www.EVERYDAYPLUMBER.com,+1-813-872-0200,info@everydayplumber.com,https://everydayplumber.com/book/,overpass_public_business_record,Tampa FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@everydayplumber.com. Website exposed a contact path at https://everydayplumber.com/book/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0003,Repipe Experts,plumbing,Tampa,FL,https://www.repipe.pro/,+1 888-973-7473,hello@relume.io,https://www.repipe.pro/contact,overpass_public_business_record,Tampa FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email hello@relume.io. Website exposed a contact path at https://www.repipe.pro/contact. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0004,Drain Flo Plumbing,plumbing,Tampa,FL,https://www.drainfloplumbing.com/,,drainfloplumbing@gmail.com,https://www.drainfloplumbing.com/contact-us/,overpass_public_business_record,Tampa FL plumbing public business listing,"Public business record listed a website. Public website exposed email drainfloplumbing@gmail.com. Website exposed a contact path at https://www.drainfloplumbing.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0005,Orlando Roofing Co.,roofing,Orlando,FL,https://orlandoroofingco.com/,+1 407-917-4227,,,overpass_public_business_record,Orlando FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0006,American Quality Roofing,roofing,Orlando,FL,https://americanqualityroofing.com/,+1-407-779-0060,,,overpass_public_business_record,Orlando FL roofing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0007,Fiddler's Roofing,roofing,Orlando,FL,https://fiddlersroofing.com/,+1-407-366-2300,,https://fiddlersroofing.com/get-a-quote,overpass_public_business_record,Orlando FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://fiddlersroofing.com/get-a-quote. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Roofing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0008,A Real Advantage Construction,roofing,Queens,NY,https://www.arealadvantageconstruction.com/,+1-718-767-6950,arealadvantage@gmail.com,https://arealadvantageconstruction.com/contact-us/,overpass_public_business_record,Queens NY roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email arealadvantage@gmail.com. Website exposed a contact path at https://arealadvantageconstruction.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0009,Baschnagel Bros inc.,roofing,Queens,NY,www.baschnagel.com,+1-718-767-1919,,,overpass_public_business_record,Queens NY roofing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0010,DMACK Home Improvement,roofing,Queens,NY,,,,,overpass_public_business_record,Queens NY roofing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and roofing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0011,Dundee Plumbing & Heating,plumbing,Queens,NY,,,,,overpass_public_business_record,Queens NY plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0012,Hydraulics Mechanical Inc,plumbing,Queens,NY,,,,,overpass_public_business_record,Queens NY plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0013,All Pro Plumbing and Heating,plumbing,Queens,NY,,+17183860393,,,overpass_public_business_record,Queens NY plumbing public business listing,Public business record listed a phone number.,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0014,Genet Plumbing & Heating,plumbing,Queens,NY,,,,,overpass_public_business_record,Queens NY plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
