lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260613-0001,The Roofing Company Inc.,roofing,Jacksonville,FL,https://theroofingcompanyfl.com/,+1-904-800-3751,info.theroofingcompany@gmail.com,https://theroofingcompanyfl.com/contact-us/,overpass_public_business_record,Jacksonville FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info.theroofingcompany@gmail.com. Website exposed a contact path at https://theroofingcompanyfl.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0002,Weatherlock Roofing Contractor,roofing,Jacksonville,FL,,,,,overpass_public_business_record,Jacksonville FL roofing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and roofing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0003,Metro Property Services,roofing,Jacksonville,FL,https://www.metropropertyservices.com/,+1 904-399-1020,,https://www.metropropertyservices.com/contact/,overpass_public_business_record,Jacksonville FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.metropropertyservices.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Roofing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0004,Avenue Roofing,roofing,Jacksonville,FL,https://avenueroofing.com/,+1 904-712-3494,admin@avenueroofing.com,https://avenueroofing.com/instant-roof-quote/,overpass_public_business_record,Jacksonville FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email admin@avenueroofing.com. Website exposed a contact path at https://avenueroofing.com/instant-roof-quote/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0005,Big Fish Roofing,roofing,Jacksonville,FL,https://www.bigfishroofing.com,+1-904-685-8334,,,overpass_public_business_record,Jacksonville FL roofing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0006,Armour Roofing,roofing,Tampa,FL,https://armourroofinc.com/roofers/tampa-fl.php,+1-813-773-3235,you@company.com,https://armourroofinc.com/contact.php,overpass_public_business_record,Tampa FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email you@company.com. Website exposed a contact path at https://armourroofinc.com/contact.php. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0007,Steadfast Roofing,roofing,Tampa,FL,https://steadfastroofingfl.com/roofing/tampa/,+1-813-726-4590,info@steadfastroofingfl.com,https://steadfastroofingfl.com/online-estimate/,overpass_public_business_record,Tampa FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@steadfastroofingfl.com. Website exposed a contact path at https://steadfastroofingfl.com/online-estimate/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-13
LFR-20260613-0008,Busto Plumbing Company,plumbing,Tampa,FL,,,,,overpass_public_business_record,Tampa FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
LFR-20260613-0009,Llona Plumbing,plumbing,Tampa,FL,https://www.llonaplumbing.com/,,,,overpass_public_business_record,Tampa FL plumbing public business listing,Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Plumbing contact-path cleanup,2,partial_public_business_source,P1_manual_enrichment,2026-06-13
LFR-20260613-0010,Cloud 9 Services Inc.,plumbing,Orlando,FL,,,,,overpass_public_business_record,Orlando FL plumbing public business listing,,"Public business listing is present, but no website was surfaced for a clear conversion path.",Website launch and plumbing intake cleanup,4,needs_manual_review,P2_low_signal_review,2026-06-13
